metric,key,value
total_messages,,1896
media_count,,428
emoji_count,,110
link_count,,42
question_count,,231
avg_message_length,,30.8
first_date,,2023-08-21
last_date,,2025-11-06
total_days,,809
messages_per_day_avg,,2.34

per_user,user,count,percentage
per_user,"Abhijeet Kumar CR CSE Core Section C SRM University, Ramapuram",985,51.95
per_user,Choudhary,863,45.52

top_words,word,count
top_words,hai,442
top_words,media,429
top_words,omitted,428
top_words,nhi,127
top_words,kya,104
top_words,se,90
top_words,mein,90
top_words,me,78
top_words,ka,75
top_words,kar,63
top_words,message,59
top_words,thik,59
top_words,or,57
top_words,de,56
top_words,abhijeet,55
top_words,bhi,54
top_words,cr,52
top_words,ke,52
top_words,srm,49
top_words,ko,48
