metric,key,value
total_messages,,747
media_count,,194
emoji_count,,5
link_count,,17
question_count,,111
avg_message_length,,24.1
first_date,,2023-08-19
last_date,,2025-11-04
total_days,,809
messages_per_day_avg,,0.92

per_user,user,count,percentage
per_user,Choudhary,382,51.14
per_user,Aman ( SRM),355,47.52

top_words,word,count
top_words,hai,215
top_words,media,195
top_words,omitted,194
top_words,kya,68
top_words,mein,47
top_words,nhi,38
top_words,ka,36
top_words,yeh,36
top_words,kar,36
top_words,thik,34
top_words,se,30
top_words,hn,28
top_words,karna,28
top_words,nahi,25
top_words,tha,24
top_words,aman,22
top_words,wala,21
top_words,ko,20
top_words,bhi,20
top_words,toh,18
